route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
C1Aa12,1,C1,Part-Dieu Jules Favre --> Cuire,REG,3,778186
C1Ar12,1,C1,Cuire --> Part-Dieu Jules Favre,REG,3,778186
C1Aa9,1,C1,Part-Dieu Jules Favre --> Cuire,REG,3,778186
C1Ar9,1,C1,Cuire --> Part-Dieu Jules Favre,REG,3,778186
C2Aa16,1,C2,Part-Dieu Jules Favre --> Rillieux Semailles,REG,3,778186
C2Ar16,1,C2,Rillieux Semailles --> Part-Dieu Jules Favre,REG,3,778186
C2Aa15,1,C2,Part-Dieu Jules Favre --> Rillieux Semailles,REG,3,778186
C2Ar15,1,C2,Rillieux Semailles --> Part-Dieu Jules Favre,REG,3,778186
C2Aa13,1,C2,Part-Dieu Jules Favre --> Rillieux Semailles,REG,3,778186
C2Ar13,1,C2,Rillieux Semailles --> Part-Dieu Jules Favre,REG,3,778186
C3Aa65,1,C3,Gare Saint-Paul --> Vaulx - La Grappinière,REG,3,778186
C3Ar65,1,C3,Vaulx - La Grappinière --> Gare Saint-Paul,REG,3,778186
C4Aa9,1,C4,Jean Macé --> Cité Internationale,REG,3,778186
C4Ar9,1,C4,Cité Internationale --> Jean Macé,REG,3,778186
C4Aa6,1,C4,Jean Macé --> Cité Internationale,REG,3,778186
C4Ar6,1,C4,Cité Internationale --> Jean Macé,REG,3,778186
C4Aa7,1,C4,Jean Macé --> Cité Internationale,REG,3,778186
C4Ar7,1,C4,Cité Internationale --> Jean Macé,REG,3,778186
C5Aa38,1,C5,Cordeliers --> Rillieux Semailles,REG,3,778186
C5Ar38,1,C5,Rillieux Semailles --> Cordeliers,REG,3,778186
C5Aa36,1,C5,Cordeliers --> Rillieux Semailles,REG,3,778186
C5Ar36,1,C5,Rillieux Semailles --> Cordeliers,REG,3,778186
C6Ca6,1,C6,Gare Part-Dieu V.Merle --> Campus Lyon Ouest,REG,3,778186
C6Cr6,1,C6,Campus Lyon Ouest --> Gare Part-Dieu V.Merle,REG,3,778186
