from_stop_id,to_stop_id,transfer_type,min_transfer_time
32153,36514,2,180
32118,47255,2,180
33221,34412,2,180
33216,34394,2,180
33221,34411,2,180
33214,34434,2,180
33212,3336,2,180
32152,36514,2,180
33212,2869,2,180
33219,34412,2,180
32121,11213,2,120
33216,34536,2,180
32156,1095,2,180
32129,44018,2,180
32131,44018,2,180
32128,44018,2,180
32157,1095,2,180
32130,44018,2,180
32103,33769,2,180
32102,33769,2,240
32156,46422,2,180
32157,46422,2,180
32103,33777,2,180
32102,33777,2,240
32157,32962,2,180
32156,32962,2,180
32166,10147,2,60
32166,10148,2,60
32167,10147,2,60
32167,10148,2,60
32127,43058,2,180
32126,43058,2,180
32125,47545,2,180
32124,47545,2,180
32121,11738,2,180
32120,11738,2,180
32157,30189,2,240
32157,30190,2,240
32111,30200,2,180
32110,30200,2,180
32110,30199,2,180
32111,30199,2,180
32156,30190,2,180
32156,30189,2,180
32102,41737,2,180
32103,41737,2,180
32157,1089,2,180
32156,1089,2,180
32103,33770,2,180
32102,33770,2,240
32107,32263,2,180
32144,1490,2,240
32107,30377,2,180
32106,32263,2,180
32145,1490,2,240
32106,30377,2,180
32145,30083,2,120
32144,30083,2,120
32127,46645,2,180
32126,46645,2,180
32121,36375,2,240
32120,36375,2,360
32103,33780,2,180
32102,33780,2,240
33214,34433,2,180
33213,37847,2,180
33213,34433,2,180
33212,2868,2,180
33211,2868,2,180
33214,37847,2,180
33222,10084,2,180
32583,10084,2,300
32173,43302,2,180
32172,43302,2,180
32582,10084,2,300
32102,33773,2,240
32103,33773,2,180
32102,33767,2,240
32103,33767,2,180
33210,3132,2,120
33209,3132,2,120
33209,3131,2,120
33210,3131,2,120
34875,43838,2,180
34835,2933,2,180
34835,2934,2,180
32102,33771,2,240
34875,45378,2,180
34834,2934,2,180
34834,2933,2,180
34874,45378,2,120
32103,33771,2,180
34874,43838,2,120
32131,31864,2,60
32130,31864,2,60
33204,43028,2,180
32172,44978,2,180
33203,43027,2,180
33203,43028,2,180
33204,43027,2,180
32172,43215,2,180
32173,43215,2,180
32173,44978,2,180
32127,42740,2,180
32102,30101,2,180
32126,42740,2,180
32103,30459,2,120
32127,46055,2,180
32102,30459,2,120
32126,46055,2,180
32142,46029,2,180
32142,46028,2,180
32120,46024,2,180
32126,30472,2,300
32143,46029,2,180
32121,46024,2,180
32116,46027,2,180
32116,46026,2,180
32121,46025,2,180
32120,46025,2,180
32143,46028,2,180
32127,30472,2,300
32117,46026,2,180
32117,46027,2,180
34875,43836,2,180
34874,43836,2,120
34874,45800,2,120
34874,43835,2,120
34875,43835,2,180
34874,43839,2,120
34875,45800,2,180
34875,43839,2,180
32160,47310,2,180
32161,47310,2,180
32161,47309,2,180
32160,47309,2,180
35659,32121,2,180
35659,32122,2,180
35659,32120,2,180
45848,32123,2,240
35659,32123,2,180
45848,32122,2,240
45884,32122,2,240
45884,32123,2,240
35659,45884,2,180
35659,45883,2,60
45848,45884,2,60
45848,45883,2,180
45884,45883,2,180
35667,35666,2,60
35675,35674,2,60
45884,35659,2,180
35660,35661,2,60
35666,35667,2,60
35668,35669,2,60
35661,35660,2,60
35669,35668,2,60
35673,35672,2,60
45884,45848,2,60
35659,45848,2,180
35670,35671,2,60
35671,35670,2,60
35674,35675,2,60
35663,35662,2,60
35662,35663,2,60
35672,35673,2,60
45848,35659,2,180
35665,35664,2,60
35664,35665,2,60
46206,35676,2,60
45884,35834,2,180
45848,35834,2,180
35659,35834,2,360
35659,32503,2,360
45848,32503,2,180
45884,32503,2,180
45848,47004,2,360
45848,2982,2,300
45884,47004,2,360
35659,47004,2,360
35659,2982,2,300
45884,2982,2,300
45884,39054,2,180
45848,39054,2,180
35659,39054,2,180
45884,11534,2,180
45848,11534,2,180
35659,11534,2,360
35669,47418,2,180
35668,42540,2,360
35669,42540,2,360
35669,46962,2,180
35668,46962,2,180
35668,46961,2,180
35668,47418,2,180
35669,46961,2,180
35662,10125,2,120
45884,46088,2,180
45848,10323,2,240
35662,10126,2,120
45848,46088,2,180
35659,10324,2,180
45884,10324,2,180
35659,10323,2,240
45848,10324,2,180
35663,10126,2,120
45884,10323,2,240
35659,46088,2,180
35663,10125,2,120
35661,10129,2,180
45884,34350,2,180
35660,10129,2,180
35661,10130,2,180
35660,10130,2,180
35659,34350,2,360
45848,34350,2,180
35669,46960,2,180
35668,46960,2,180
35666,32303,2,120
35667,32303,2,120
35666,32302,2,120
35667,32302,2,120
45884,11213,2,180
45848,11213,2,180
35659,11213,2,120
35664,33949,2,180
35665,33949,2,180
35664,443,2,180
35665,443,2,180
35668,37216,2,120
35672,36094,2,180
35669,37216,2,120
35673,36094,2,180
35668,37170,2,60
35669,37170,2,60
35673,36095,2,180
35672,36095,2,180
35668,37215,2,120
46206,39998,2,120
35669,37215,2,120
35676,39998,2,120
35676,47690,2,180
46206,47690,2,180
35659,11738,2,180
45884,11738,2,180
45848,11738,2,180
45884,36375,2,180
